Vote ID,File,Order of vote,Date,O'clock,Title,Title_Ro,Title_Fr,Title_German,Title_Polski,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,Subject_ro,Subject_fr,Subject_ger,Subject_pl,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,is_main
1933,50.0,26.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 10, rest",,,,,0.0,89cp,committee,RCV,+,551,130,4,0.0
1934,50.0,27.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 11, Paragraph 1, subparagraph 1, intro",,,,,0.0,115,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,312,374,2,0.0
1935,50.0,28.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 11, Paragraph 1, subparagraph 1, intro",,,,,0.0,89cp,committee,RCV,+,348,336,2,0.0
1936,50.0,29.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 11, Paragraph 1, subparagraph 2",,,,,0.0,116,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,310,368,8,0.0
1937,50.0,30.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 11, rest",,,,,0.0,89cp,committee,RCV,+,548,135,0,0.0
1938,50.0,31.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 17, Paragraph 1, subparagraph 1, intro",,,,,0.0,117,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,303,368,8,0.0
1939,50.0,32.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 17, Paragraph 1, subparagraph 1, intro",,,,,0.0,89cp,committee,RCV,+,348,329,1,0.0
1940,50.0,33.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 17, Paragraph 1, subparagraph 2",,,,,0.0,118,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,311,364,7,0.0
1941,50.0,34.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After article 23,,,,,0.0,76=119,"committee, S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,316,340,27,0.0
1942,50.0,35.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After article 26,,,,,0.0,120,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,308,370,6,0.0
1943,50.0,36.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After article 29,,,,,0.0,121,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,325,330,33,0.0
1944,50.0,37.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 8,,,,,0.0,89cp,committee,RCV,+,594,63,28,0.0
1945,50.0,38.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After recital 10,,,,,0.0,96,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,316,353,21,0.0
1946,50.0,39.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After recital 10,,,,,0.0,89cp,committee,RCV,+,350,327,4,0.0
1947,50.0,40.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 19,,,,,0.0,97,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,303,368,13,0.0
1948,50.0,41.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 19,,,,,0.0,89cp,committee,RCV,+,597,90,1,0.0
1949,50.0,42.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 21,,,,,0.0,98,"S&D, GUE/NGL, Greens/EFA, EFDD",,-,287,361,33,0.0
1950,50.0,43.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 21,,,,,0.0,89cp,committee,RCV,+,365,291,28,0.0
1951,50.0,44.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After recital 21,,,,,0.0,99,"S&D, GUE/NGL, Greens/EFA, EFDD",RCV,-,317,341,33,0.0
1952,50.0,45.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 27,,,,,0.0,89cp,committee,RCV,-,337,338,12,0.0
1953,50.0,46.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Recital 27,,,,,0.0,100,"S&D, Greens/EFA, EFDD",RCV,-,278,400,6,0.0
1954,50.0,47.0,28.10.2015,,Novel foods,,,,,***I,Leg,Draft legislative resolution,s,Nicholson,A8-0046/2014,2013/0435/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0046&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: legislative resolution,,,,,1.0,,0,RCV,+,359,202,127,1.0
1955,50.0,1.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 3, Paragraph 1, point 2",,,,,0.0,131,40+MEPs,RCV,+,363,316,4,0.0
1956,50.0,2.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 4, Paragraph 1",,,,,0.0,32,committee,RCV,+,411,270,4,0.0
1957,50.0,3.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 4, Paragraph 1",,,,,0.0,32,committee,RCV,-,307,345,25,0.0
1958,50.0,4.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 4, after paragraph 1",,,,,0.0,33,committee,RCV,+,390,256,13,0.0
1959,50.0,5.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 4, after paragraph 1",,,,,0.0,143,EPP,RCV,-,235,380,30,0.0
1960,50.0,6.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 4, Paragraph 3, point b",,,,,0.0,122,ENF,RCV,-,58,587,35,0.0
1961,50.0,7.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 5, Paragraph 4",,,,,0.0,40,committee,RCV,+,648,28,5,0.0
1962,50.0,8.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 5, Paragraph 4",,,,,0.0,40,committee,RCV,-,98,575,7,0.0
1963,50.0,9.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 5, Paragraph 5, subparagraph 1",,,,,0.0,41,committee,RCV,+,534,128,18,0.0
1964,50.0,10.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 5, Paragraph 6",,,,,0.0,43,committee,RCV,+,534,136,14,0.0
1965,50.0,11.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 6, Paragraph 2, subparagraph 1, point a a (new)",,,,,0.0,45,committee,RCV,+,589,91,5,0.0
1966,50.0,12.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Article 11, after paragraph 2",,,,,0.0,127,ECR,RCV,+,552,117,11,0.0
1967,50.0,13.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex I, table A, row 4",,,,,0.0,135D,40+MEPs,RCV,+,355,324,4,0.0
1968,50.0,14.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex I, table C, row 5",,,,,0.0,136D,40+MEPs,RCV,+,355,320,5,0.0
1969,50.0,15.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex II, table a",,,,,0.0,128,Greens/EFA,RCV,-,105,562,16,0.0
1970,50.0,16.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex II, table a",,,,,0.0,92,committee,RCV,-,301,363,15,0.0
1971,50.0,17.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex II, table b",,,,,0.0,129,Greens/EFA,RCV,-,113,551,17,0.0
1972,50.0,18.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex II, table b",,,,,0.0,93,committee,RCV,-,294,371,14,0.0
1973,50.0,19.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex II, table b",,,,,0.0,138,40+MEPs,RCV,-,301,371,8,0.0
1974,50.0,20.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Annex II, after table b",,,,,0.0,94,committee,RCV,-,323,340,9,0.0
1975,50.0,21.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After recital 4,,,,,0.0,3,committee,RCV,+,331,324,25,0.0
1976,50.0,22.0,28.10.2015,,Emissions of certain atmospheric pollutants,,,,,***I,Leg,Draft legislative resolution,s,Girling,A8-0249/2015,2013/0443/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0249&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,After recital 15,,,,,0.0,18,committee,RCV,+,337,305,47,0.0
1977,50.0,1.0,28.10.2015,,European Citizens' Initiative,,,,,,Non,Motion for resolution,s,Schöpflin,A8-0284/2015,2014/2257/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0284&language=EN,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,Paragraph 3,,,,,0.0,2,ENF,RCV,-,66,572,20,0.0
1978,50.0,2.0,28.10.2015,,European Citizens' Initiative,,,,,,Non,Motion for resolution,s,Schöpflin,A8-0284/2015,2014/2257/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0284&language=EN,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,After paragraph 15,,,,,0.0,6,"Greens/EFA, ALDE",RCV,-,221,442,12,0.0
1979,50.0,3.0,28.10.2015,,European Citizens' Initiative,,,,,,Non,Motion for resolution,s,Schöpflin,A8-0284/2015,2014/2257/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0284&language=EN,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,Paragraph 30,,,,,0.0,4,"EPP, S&D",RCV,+,495,173,6,0.0
1980,50.0,4.0,28.10.2015,,European Citizens' Initiative,,,,,,Non,Motion for resolution,s,Schöpflin,A8-0284/2015,2014/2257/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0284&language=EN,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,Paragraph 32,,,,,0.0,5,"EPP, S&D",RCV,+,535,123,10,0.0
1981,50.0,5.0,28.10.2015,,European Citizens' Initiative,,,,,,Non,Motion for resolution,s,Schöpflin,A8-0284/2015,2014/2257/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0284&language=EN,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,Recital A ,,,,,0.0,1,ENF,RCV,-,61,575,35,0.0
1982,50.0,6.0,28.10.2015,,European Citizens' Initiative,,,,,,Non,Motion for resolution,s,Schöpflin,A8-0284/2015,2014/2257/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0284&language=EN,Committee on Constitutional Affairs,Constitutional and inter-institutional affairs,vote: resolution,,,,,1.0,,0,RCV,+,527,39,103,1.0
1983,50.0,1.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 5,,,,,0.0,,original text,RCV,+,588,67,14,0.0
1984,50.0,2.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 8,,,,,0.0,,original text,RCV,+,587,60,9,0.0
1985,50.0,3.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 10,,,,,0.0,,original text,RCV,+,543,83,21,0.0
1986,50.0,4.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 17,,,,,0.0,,original text,RCV,+,586,37,35,0.0
1987,50.0,5.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 23,,,,,0.0,,original text,RCV,+,593,62,3,0.0
1988,50.0,6.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 23,,,,,0.0,,original text,RCV,+,535,111,8,0.0
1989,50.0,7.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 32,,,,,0.0,,original text,RCV,+,592,37,21,0.0
1990,50.0,8.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 42,,,,,0.0,,original text,RCV,+,504,141,6,0.0
1991,50.0,9.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 64,,,,,0.0,,original text,RCV,+,611,28,31,0.0
1992,50.0,10.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 64,,,,,0.0,,original text,RCV,+,535,56,37,0.0
1993,50.0,11.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 64,,,,,0.0,,original text,RCV,+,580,32,34,0.0
1994,50.0,12.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 68,,,,,0.0,,original text,RCV,+,570,80,8,0.0
1995,50.0,13.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 68,,,,,0.0,,original text,RCV,+,588,45,22,0.0
1996,50.0,14.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 84,,,,,0.0,,original text,RCV,+,628,25,10,0.0
1997,50.0,15.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 84,,,,,0.0,,original text,RCV,+,530,109,13,0.0
1998,50.0,16.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Paragraph 85,,,,,0.0,,original text,RCV,+,555,68,48,0.0
1999,50.0,17.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,Recital G,,,,,0.0,,original text,RCV,+,594,67,8,0.0
2000,50.0,18.0,28.10.2015,,EU strategy for the Adriatic and Ionian region,,,,,,Non,Motion for resolution,s,Jakovčić,A8-0279/2015,2014/2214/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0279&language=EN,Committee on Regional Development,Regional development,vote: resolution,,,,,1.0,,0,RCV,+,560,60,39,1.0
2001,50.0,1.0,28.10.2015,,Cohesion policy and review of the Europe 2020 strategy,,,,,,Non,Motion for resolution,s,Ruas,A8-0277/2015,2014/2246/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0277&language=EN,Committee on Regional Development,Regional development,vote: resolution,,,,,1.0,,0,RCV,+,530,75,54,1.0
2002,50.0,1.0,28.10.2015,,European Structural and Investment Funds and sound economic governance,,,,,,Non,Motion for resolution,s,Blanco López,A8-0268/2015,2015/2052/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0268&language=EN,Committee on Regional Development,Regional development,AMR,,,,,0.0,2,GUE/NGL,RCV,-,54,521,89,0.0
2003,50.0,2.0,28.10.2015,,European Structural and Investment Funds and sound economic governance,,,,,,Non,Motion for resolution,s,Blanco López,A8-0268/2015,2015/2052/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0268&language=EN,Committee on Regional Development,Regional development,Paragraph 2,,,,,0.0,,original text,RCV,+,586,40,26,0.0
