member.id,member.country.code,member.group.short_label,169362,169401,169418,169419,169541,169544,169565,169623,169676,169701,169770,169808,169857,169885,169887,169889,169890,169894,169898,169987,170351,170366,170381,170382,170398,170401,170528,170611,170621,170624,170627,170628,170631,170632,170636,170637,170638,170641,170670,170671,170721,170722,170726,170765,170866,170871,170875,170880,170917,171124,171125,171133,171138,171157,171158,171159,171160,171161,171166,171271,171280,171297,171364,171396,171397,171398,171425,171462,171587,171594,171607,171628,171702,171703,171704,171705,171706,171707,171790,171793,171859,171911,172102,172110,172114,172115,172136,172158,172211,172315,172585,172663,172867,172995,173001,173008,173686,173687,173688,173690,173691,173693,173695,173708,173801,173897,173903,174053,174055,174220,174273,174288,174875,174880,174881,174971,174988,175031,175044,175067,175085,175093,175099,175107,175114,175116,175123,175136,175144,175160,175211,175231,175252,175349,175396,175398,175399,175513,175535,175563,175579,175594,175610,175667,175675,175683,175687,175707,175709,175712,175736,175761,175913,175931,176089,176090,176091,176241,176281,176302,176309,176343,176681,176688,176731,176743,176844,176873,176981,176982,177025,177027,177034,177061,177135,177169,177229,177332,177333,177334,177335,177337,177408,177411,177454,177532,177595,177602,177616,177648,177650,177664,177665,177666,177670,177690,177691,177697,177723,177733,177735,177737,177739,177742,177745,177763,177786,177814,178008,178062,178064,178065,178066,178067,178111,178147,178149,178218,178219,178231,178245,178281,178285,178291,178334,178336,178384,178385,178386,178387,178389,178397,178399,178400,178401,178405,178406,178424,178425,178472,178484,178500,178702,178731,178767,178788,178875,178979,178988,179048,179203,179211,179213,179219,179221,179222,179226,179234,179275,179280,179281,179295,179423,179441,179481,179508,179558,179569,179571,179617,179720,179770,179775,179776,179786,179788,179790,179801,179804,179816,179820,179824,179841,179918,179934,180153,180195,180245,180250,180290,180291,180520,180598
840,LUX,RENEW,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,AGAINST,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,FOR,AGAINST,AGAINST,AGAINST,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,DID_NOT_VOTE,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,AGAINST,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR
1294,BEL,SD,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,DID_NOT_VOTE,FOR,FOR,AGAINST,FOR,FOR,ABSTENTION,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR
1909,DEU,SD,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,DID_NOT_VOTE,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,DID_NOT_VOTE,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,FOR,AGAINST,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,AGAINST,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR
1917,DEU,EPP,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,DID_NOT_VOTE,FOR,FOR,DID_NOT_VOTE,FOR,AGAINST,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,FOR,FOR
1927,DEU,EPP,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,FOR,AGAINST,AGAINST,AGAINST,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,DID_NOT_VOTE,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,AGAINST,AGAINST,FOR,FOR
2152,ITA,GREEN_EFA,AGAINST,FOR,FOR,FOR,AGAINST,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,ABSTENTION,AGAINST,AGAINST,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,AGAINST,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,AGAINST,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,AGAINST,DID_NOT_VOTE,FOR,FOR,FOR,DID_NOT_VOTE,FOR,ABSTENTION,AGAINST,FOR,FOR,FOR,FOR,ABSTENTION,AGAINST,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,AGAINST,FOR,AGAINST,AGAINST,AGAINST,FOR,FOR,ABSTENTION,AGAINST,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,ABSTENTION,FOR,FOR,FOR,ABSTENTION,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,FOR,AGAINST,FOR,FOR,AGAINST,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,ABSTENTION,AGAINST,FOR,FOR,ABSTENTION,FOR,AGAINST,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,ABSTENTION,FOR,AGAINST,AGAINST,ABSTENTION,AGAINST,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,ABSTENTION
2268,SWE,GUE_NGL,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,AGAINST,FOR,AGAINST,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,AGAINST,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,AGAINST,ABSTENTION,AGAINST,FOR,AGAINST,AGAINST,FOR,FOR,AGAINST,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,AGAINST,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,AGAINST,ABSTENTION,AGAINST,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,AGAINST,FOR,FOR,ABSTENTION,FOR,AGAINST,AGAINST,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,AGAINST,DID_NOT_VOTE,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,AGAINST,ABSTENTION,FOR,ABSTENTION,AGAINST,FOR,FOR,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,AGAINST,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,ABSTENTION,FOR,AGAINST,AGAINST,FOR,FOR,ABSTENTION,FOR,FOR,AGAINST,AGAINST,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,AGAINST,FOR,ABSTENTION,FOR,AGAINST,FOR,ABSTENTION,ABSTENTION,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE
2341,DEU,EPP,FOR,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,AGAINST,AGAINST,AGAINST,AGAINST,FOR,FOR,AGAINST,AGAINST,AGAINST,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,AGAINST,AGAINST,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,ABSTENTION,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,AGAINST,AGAINST,FOR,AGAINST,FOR,FOR,FOR,FOR,AGAINST,FOR,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,DID_NOT_VOTE,FOR,DID_NOT_VOTE,FOR,FOR,FOR,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,DID_NOT_VOTE,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,FOR,AGAINST,AGAINST,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,FOR,AGAINST,AGAINST,AGAINST,FOR,FOR
